"id","theme_id","theme","theme_description","category","constraint","problem","problem_description","action","source_refs"
"180","T2","Trust the scores — variance, bias, calibration","The pain of measurement validity. Single-run scores look stable but aren't; LLM-judge scores drift between models, across versions, and against humans; standard errors are absent or computed wrong. The team cannot tell whether a score change reflects a real improvement or noise.","Adaptation","Error is Inherent","Binary-score SE computed with generic SEM","Used the generic standard-error formula for 0/1 outcomes. The right formula uses Bernoulli variance; numbers are off.","For 0/1 metrics, use Bernoulli SE = √(s̄(1−s̄)/n)","39 — Anthropic Error Bars"
"181","T2","Trust the scores — variance, bias, calibration","The pain of measurement validity. Single-run scores look stable but aren't; LLM-judge scores drift between models, across versions, and against humans; standard errors are absent or computed wrong. The team cannot tell whether a score change reflects a real improvement or noise.","Adaptation","Error is Inherent","Clustered standard errors ignored","Test set has 100 items but they're grouped into 10 scenarios of 10 each. Treating items as independent gives SEs ~3× too small.","Expect clustered SEs 1.1–3× larger than naïve SEs on grouped questions — apply the correction","39 — Anthropic Error Bars"
"182","T2","Trust the scores — variance, bias, calibration","The pain of measurement validity. Single-run scores look stable but aren't; LLM-judge scores drift between models, across versions, and against humans; standard errors are absent or computed wrong. The team cannot tell whether a score change reflects a real improvement or noise.","Adaptation","Error is Inherent","Resampling K chosen by feel","Run each case 4 times. Why 4? Habit. The math says K=3–4 is reasonable but no one verified for this eval.","K=1→2 cuts within-question variance by ~33%; K=6 only reaches ~56%; stop at K=3–4 for most use cases","39 — Anthropic Error Bars"
"183","T2","Trust the scores — variance, bias, calibration","The pain of measurement validity. Single-run scores look stable but aren't; LLM-judge scores drift between models, across versions, and against humans; standard errors are absent or computed wrong. The team cannot tell whether a score change reflects a real improvement or noise.","Adaptation","Error is Inherent","Sampling variance reduced via temperature","Cranked temperature to 0 to reduce variance. Introduced bias; the temperature-0 distribution isn't the production distribution.","Don't drop temperature to reduce sampling variance (introduces bias) — use resampling or next-token probabilities instead","39 — Anthropic Error Bars"
"184","T2","Trust the scores — variance, bias, calibration","The pain of measurement validity. Single-run scores look stable but aren't; LLM-judge scores drift between models, across versions, and against humans; standard errors are absent or computed wrong. The team cannot tell whether a score change reflects a real improvement or noise.","Adaptation","Error is Inherent","Single-token answers sampled wastefully","Answer is one token. Team resamples 8 times. They could have used next-token probabilities and saved 87% of the compute.","Use next-token log-probabilities instead of sampling — ~67% variance reduction for single-token answers","39 — Anthropic Error Bars"
"185","T2","Trust the scores — variance, bias, calibration","The pain of measurement validity. Single-run scores look stable but aren't; LLM-judge scores drift between models, across versions, and against humans; standard errors are absent or computed wrong. The team cannot tell whether a score change reflects a real improvement or noise.","Adaptation","Error is Inherent","Paired SE computed wrong","Two-model comparison reported SE_A and SE_B independently. The covariance term was dropped; reported SE is too large.","SE_paired = √(SE_A² + SE_B² − 2·SE_A·SE_B·Corr(s_A,s_B)) — include the covariance term","39 — Anthropic Error Bars"
"186","T2","Trust the scores — variance, bias, calibration","The pain of measurement validity. Single-run scores look stable but aren't; LLM-judge scores drift between models, across versions, and against humans; standard errors are absent or computed wrong. The team cannot tell whether a score change reflects a real improvement or noise.","Adaptation","Error is Inherent","Power-analysis budget ignores resampling","Power analysis says ""n=300."" Actually that's 300 unique questions × K resamples. The total compute is much higher.","Use n = (z_{α/2} + z_β)² · (ω² + σ_A²/K_A + σ_B²/K_B) / δ², which accounts for clustered questions and per-question resamples","39 — Anthropic Error Bars"
"187","T2","Trust the scores — variance, bias, calibration","The pain of measurement validity. Single-run scores look stable but aren't; LLM-judge scores drift between models, across versions, and against humans; standard errors are absent or computed wrong. The team cannot tell whether a score change reflects a real improvement or noise.","Adaptation","Error is Inherent","Sample sizing for small effects guessed","Trying to detect a 3 percentage point difference. Picked 200 questions. The math says ~970.","Detecting a 3 pp difference at 80% power, 5% significance requires ~969 independent questions under typical variance","39 — Anthropic Error Bars"
"188","T2","Trust the scores — variance, bias, calibration","The pain of measurement validity. Single-run scores look stable but aren't; LLM-judge scores drift between models, across versions, and against humans; standard errors are absent or computed wrong. The team cannot tell whether a score change reflects a real improvement or noise.","Adaptation","Error is Inherent","Tiny eval sets pushed through CLT","50-case eval; team applied normal-approximation CIs. The CIs lie at this sample size.","Switch to Bayesian methods when n < 100 instead of CLT-based CIs","39 — Anthropic Error Bars"
"189","T2","Trust the scores — variance, bias, calibration","The pain of measurement validity. Single-run scores look stable but aren't; LLM-judge scores drift between models, across versions, and against humans; standard errors are absent or computed wrong. The team cannot tell whether a score change reflects a real improvement or noise.","Adaptation","Error is Inherent","Scores reported without uncertainty","Slide reads ""78.5%"". No error bar, no comparison. Audience can't tell if it's a meaningful number.","Report SE in parentheses next to each point estimate: ""78.5% (±2.1%)""","39 — Anthropic Error Bars"
"190","T2","Trust the scores — variance, bias, calibration","The pain of measurement validity. Single-run scores look stable but aren't; LLM-judge scores drift between models, across versions, and against humans; standard errors are absent or computed wrong. The team cannot tell whether a score change reflects a real improvement or noise.","Adaptation","Error is Inherent","Prompt comparisons not multiple-comparison corrected","Compared 12 prompt variants. One is significantly better at p<0.05. Without correction, expected to find one by chance.","Use evalstats `compare_prompts()` — auto-applies correction","41 — Arawjo"
"191","T2","Trust the scores — variance, bias, calibration","The pain of measurement validity. Single-run scores look stable but aren't; LLM-judge scores drift between models, across versions, and against humans; standard errors are absent or computed wrong. The team cannot tell whether a score change reflects a real improvement or noise.","Adaptation","Error is Inherent","Model × prompt grid not ranked","Three models × five prompts = fifteen results in a wall of numbers. No ranking, no statistical comparison.","Use evalstats nested `compare_models()` dict input to auto-rank combinations","41 — Arawjo"
"192","T2","Trust the scores — variance, bias, calibration","The pain of measurement validity. Single-run scores look stable but aren't; LLM-judge scores drift between models, across versions, and against humans; standard errors are absent or computed wrong. The team cannot tell whether a score change reflects a real improvement or noise.","Adaptation","Error is Inherent","Eval CSVs in wide format","Each prompt is a column, each model a column. Stats tools want long format (one row per observation). Conversion happens manually every time.","Use long format (model, prompt, input, score) — directly loadable by evalstats","41 — Arawjo"
"193","T2","Trust the scores — variance, bias, calibration","The pain of measurement validity. Single-run scores look stable but aren't; LLM-judge scores drift between models, across versions, and against humans; standard errors are absent or computed wrong. The team cannot tell whether a score change reflects a real improvement or noise.","Adaptation","Error is Inherent","Default CI level unconsidered","Reported a 95% CI because that's the default. The risk profile of the decision would have justified 99%.","evalstats CLI defaults to 99% CI; only drop to 95% when business risk justifies","41 — Arawjo"
"194","T9","Security & red-team","The pain of being a target. Prompt injection, the lethal trifecta (private data + injection + exfiltration), agent goal hijack, privilege escalation, tool misuse — and the team has no agent-specific threat model or red-team programme.","Regulation","Robustness Fragility","Whole OWASP list run blindly each round","Every regression cycle runs all 10 OWASP ASI categories. Time-prohibitive; signal-diluted.","Use `red_team(filter=['ASI_01'])` to target a specific threat per session and rotate coverage","42 — OWASP / DeepTeam"
"195","T9","Security & red-team","The pain of being a target. Prompt injection, the lethal trifecta (private data + injection + exfiltration), agent goal hijack, privilege escalation, tool misuse — and the team has no agent-specific threat model or red-team programme.","Regulation","Robustness Fragility","Assuming red-team tools cover the full stack","DeepTeam is configured. Team assumes the runtime, inter-agent, infra, memory, and auth are all covered. Actually only model reasoning is.","DeepTeam tests model reasoning only — runtime execution, inter-agent protocols, infrastructure, memory, and authentication need separate testing","42 — OWASP / DeepTeam"
"196","T9","Security & red-team","The pain of being a target. Prompt injection, the lethal trifecta (private data + injection + exfiltration), agent goal hijack, privilege escalation, tool misuse — and the team has no agent-specific threat model or red-team programme.","Regulation","Robustness Fragility","Underestimating real-world attack success","Internal red-team finds 11% task-hijack success. Public studies find 81% on production systems with attack tooling. Team plans for the optimistic number.","Recognise 81% task-hijacking success vs 11% baseline — assume real attacks beat hardened defenses; design for graceful failure","43 — NIST/CSA"
"197","T9","Security & red-team","The pain of being a target. Prompt injection, the lethal trifecta (private data + injection + exfiltration), agent goal hijack, privilege escalation, tool misuse — and the team has no agent-specific threat model or red-team programme.","Regulation","Robustness Fragility","No inventory of production agents","Asked ""how many agents are in production?"" No one knows. Each team built their own without a central registry.","Audit and document every production agent with its tool-access matrix and authorisation model","43 — NIST/CSA"
"198","T9","Security & red-team","The pain of being a target. Prompt injection, the lethal trifecta (private data + injection + exfiltration), agent goal hijack, privilege escalation, tool misuse — and the team has no agent-specific threat model or red-team programme.","Regulation","Robustness Fragility","Generic red-team prompts","Red-team uses generic jailbreak prompts. The team's agents have specific tool surfaces those prompts don't exercise.","Incorporate the NIST AI 100-2 E2025 adversarial taxonomy into red-team scenario design","43 — NIST/CSA"
"199","T9","Security & red-team","The pain of being a target. Prompt injection, the lethal trifecta (private data + injection + exfiltration), agent goal hijack, privilege escalation, tool misuse — and the team has no agent-specific threat model or red-team programme.","Regulation","Robustness Fragility","Privilege escalation vectors unclear","Agent has more permissions than it needs. The dangerous-action surface isn't mapped.","Implement least-privilege authorisation using OAuth 2.0 per NCCoE guidance","43 — NIST/CSA"
"200","T9","Security & red-team","The pain of being a target. Prompt injection, the lethal trifecta (private data + injection + exfiltration), agent goal hijack, privilege escalation, tool misuse — and the team has no agent-specific threat model or red-team programme.","Regulation","Robustness Fragility","Self-assessment maturity unknown","Asked ""how mature is our security programme?"" No benchmark to assess against.","Pilot the ARIA three-tier evaluation model for internal agent security assessment","43 — NIST/CSA"
"201","T9","Security & red-team","The pain of being a target. Prompt injection, the lethal trifecta (private data + injection + exfiltration), agent goal hijack, privilege escalation, tool misuse — and the team has no agent-specific threat model or red-team programme.","Regulation","Robustness Fragility","Compliance path forward unclear","NIST AI 100-2, FedRAMP-AI, EU AI Act. Which apply? Which are mandatory? What does compliant look like operationally?","Track COSAiS (Control Overlays for Securing AI Systems) extension to SP 800-53 as the FedRAMP-AI precursor","43 — NIST/CSA"
